algorithm,variant,cost,cv,n_stations,losses_kW,Vmin,sited_bus:kW,x
GSK,ACME-CF,3093.5535734555347,0.00404829234424442,4,316.64049005523276,0.8976671051832757,5:500.0; 7:366.6; 24:499.5; 28:135.6,"[7.739e-01,7.532e-01,1.602e-02,4.714e-01,2.771e-01,8.835e-01,7.579e-01,5.098e-02,1.502e-01,5.000e+02,3.666e+02,3.590e+02,2.566e+02,5.000e+02,4.995e+02,1.356e+02,1.899e+02,3.274e+02]"
GSK,IBREAKDOWN-CF,3098.1329632319057,0.0040459097581900805,4,317.0026880386597,0.8976682968870626,5:500.0; 7:354.6; 24:500.0; 28:149.9,"[6.036e-01,5.948e-01,2.710e-01,3.882e-01,3.156e-01,8.372e-01,9.921e-01,2.128e-01,2.521e-01,5.000e+02,3.546e+02,3.581e+02,7.097e+01,4.698e+02,5.000e+02,1.499e+02,1.762e+02,2.083e+02]"
GSK,LIME-CF,3089.092912556597,0.004150205661056505,4,315.5697746527242,0.8976161309883698,5:500.0; 7:418.5; 24:500.0; 28:84.1,"[8.389e-01,9.806e-01,0.000e+00,0.000e+00,0.000e+00,8.582e-01,1.000e+00,0.000e+00,1.833e-01,5.000e+02,4.185e+02,5.000e+02,5.000e+02,8.133e+01,5.000e+02,8.414e+01,1.710e+02,8.198e+01]"
GSK,SHAP-CF,3085.835459629691,0.004141560930138621,4,315.3197560029598,0.8976204548406342,5:500.0; 7:426.1; 24:500.0; 28:74.5,"[8.989e-01,8.723e-01,1.582e-01,2.519e-01,3.101e-01,7.589e-01,6.044e-01,4.704e-01,1.357e-01,5.000e+02,4.261e+02,1.793e+02,1.577e+01,1.017e+02,5.000e+02,7.453e+01,4.037e+02,3.982e+02]"
GSK,Standard,3083.6062103280874,0.004173896023963564,4,314.9523726536542,0.8976042817293273,5:500.0; 7:444.0; 24:500.0; 28:56.2,"[7.090e-01,7.399e-01,1.995e-01,1.982e-01,2.411e-01,6.632e-01,6.178e-01,3.539e-01,9.924e-02,5.000e+02,4.440e+02,4.610e+02,1.079e+02,4.727e+02,5.000e+02,5.622e+01,2.290e+02,1.714e+02]"
SBOA,ACME-CF,3145.732069426439,0.013768872053567138,4,327.3543278753994,0.8968387302144519,5:367.4; 7:284.2; 24:500.0; 28:348.4,"[6.883e-01,5.887e-01,4.282e-01,3.303e-01,4.112e-01,5.740e-01,5.749e-01,4.617e-01,4.709e-01,3.674e+02,2.842e+02,2.504e+02,3.302e+02,1.760e+02,5.000e+02,3.484e+02,1.224e+02,3.498e+02]"
SBOA,IBREAKDOWN-CF,3134.7996412687576,0.012145874245422017,5,324.98515639106375,0.8968389977000832,5:414.0; 7:359.8; 24:481.7; 28:172.4; 30:73.0,"[5.797e-01,6.048e-01,3.329e-01,3.645e-01,2.763e-01,5.600e-01,5.713e-01,5.545e-01,4.287e-01,4.140e+02,3.598e+02,1.495e+02,2.226e+02,3.060e+02,4.817e+02,1.724e+02,7.303e+01,1.826e+02]"
SBOA,LIME-CF,3152.941928244637,0.017201817709730727,5,328.0191906719203,0.8960726991712893,5:411.7; 7:356.0; 24:460.7; 28:196.0; 32:79.4,"[5.643e-01,5.515e-01,4.870e-01,4.071e-01,3.962e-01,5.501e-01,6.206e-01,4.232e-01,6.739e-01,4.117e+02,3.560e+02,2.138e+02,2.975e+02,3.361e+02,4.607e+02,1.960e+02,2.751e+02,7.939e+01]"
SBOA,SHAP-CF,3160.465981175107,0.014855461319163266,5,326.76906562227924,0.8960741957802496,5:458.8; 7:197.8; 24:500.0; 28:229.5; 30:131.6,"[7.133e-01,5.857e-01,3.118e-01,3.790e-01,3.896e-01,5.641e-01,7.336e-01,5.298e-01,4.291e-01,4.588e+02,1.978e+02,2.770e+02,2.730e+02,2.348e+02,5.000e+02,2.295e+02,1.316e+02,2.777e+02]"
SBOA,Standard,3125.459270288483,0.011824077789268084,5,323.14172370796416,0.8970577569447487,5:463.4; 7:366.3; 24:500.0; 30:81.4; 32:89.8,"[7.719e-01,5.987e-01,3.792e-01,4.736e-01,4.425e-01,6.125e-01,3.964e-01,5.730e-01,5.863e-01,4.634e+02,3.663e+02,2.017e+02,3.127e+02,1.532e+02,5.000e+02,2.712e+02,8.137e+01,8.985e+01]"
