algorithm,variant,fit_best,fit_median,fit_mean,fit_std,fit_worst,cost_median,cv_median,pct_feasible,mean_activations,mean_rescues
GSK,ACME-CF,3082.424899439931,3122.0451286924263,3119.7024061426446,39.14636869665792,3251.959077484575,3113.5683813729665,0.005916559464018423,0.0,27.9,2.2
GSK,IBREAKDOWN-CF,3082.424899439931,3112.173434946603,3117.0220614271866,35.68204533886635,3189.4344367834597,3104.8163431855855,0.004638890112541483,0.0,33.36666666666667,3.2
GSK,LIME-CF,3082.424899439931,3118.711822068646,3122.425591057755,30.02106288041959,3183.703626161337,3112.9090024816396,0.005980434684788871,0.0,18.333333333333332,1.6666666666666667
GSK,SHAP-CF,3082.424899439931,3103.5116307852027,3115.7813633017586,40.95275543741125,3272.378128383345,3097.2803902518735,0.004753972425509623,0.0,31.6,3.5
GSK,Standard,3082.424899439931,3087.2073586061915,3089.016426299238,9.533993919638418,3136.6159218963917,3083.0180615381173,0.004220031999980944,0.0,0.0,0.0
SBOA,ACME-CF,3159.500941480006,3222.5237149606437,3236.6086796407253,48.25949657822902,3343.0194785897097,3191.50294965368,0.030577012434853945,0.0,13.233333333333333,1.1333333333333333
SBOA,IBREAKDOWN-CF,3146.9455155141795,3224.8841199939397,3230.024186515378,40.527288038404684,3366.5208139207816,3189.7986504365554,0.030743268283560665,0.0,16.066666666666666,3.6
SBOA,LIME-CF,3163.160815307962,3223.8208265796525,3239.283926748181,62.2858815128518,3443.146131336228,3190.292309864042,0.033284683242085444,0.0,13.033333333333333,2.466666666666667
SBOA,SHAP-CF,3166.2524268525867,3229.2046915805913,3236.1726995149384,52.27140986349453,3433.600806261784,3194.8218575641113,0.03432325525517388,0.0,15.7,3.6
SBOA,Standard,3137.283348077751,3183.8365280328326,3193.936349048087,43.445251201148146,3371.037776992507,3162.9963532666598,0.021328265524934942,0.0,0.0,0.0
